sale_id,sale_date,product_id,customer_id,quantity,unit_price,revenue,payment_method
S0000086,2025-01-02,P0025,C00204,1,4.71,4.71,Cash
S0000087,2025-01-02,P0018,C00195,1,14.48,14.48,Digital Wallet
S0000088,2025-01-02,P0031,C00392,4,28.12,112.48,Digital Wallet
S0000089,2025-01-02,P0012,C00146,4,17.67,70.68,Cash
S0000090,2025-01-02,P0026,C00344,2,30.59,61.18,Digital Wallet
S0000091,2025-01-02,P0037,C00308,1,29.68,29.68,Cash
S0000092,2025-01-02,P0008,C00211,5,25.45,127.25,Card
S0000093,2025-01-02,P0036,C00131,3,13.91,41.73,Digital Wallet
S0000094,2025-01-02,P0020,C00398,3,24.58,73.74,Digital Wallet
S0000095,2025-01-02,P0007,C00213,4,11.24,44.96,Digital Wallet
S0000096,2025-01-02,P0020,C00409,3,24.58,73.74,Digital Wallet
S0000097,2025-01-02,P0015,C00414,5,29.69,148.45,Card
S0000098,2025-01-02,P0033,C00162,2,32.26,64.52,Card
S0000099,2025-01-02,P0033,C00290,1,32.26,32.26,Cash
S0000100,2025-01-02,P0040,C00180,5,4.33,21.65,Digital Wallet
S0000101,2025-01-02,P0002,C00247,4,23.0,92.0,Digital Wallet
S0000102,2025-01-02,P0026,C00167,2,30.59,61.18,Card
S0000103,2025-01-02,P0003,C00083,1,2.27,2.27,Cash
S0000104,2025-01-02,P0034,C00025,3,13.32,39.96,Card
S0000105,2025-01-02,P0036,C00174,3,13.91,41.73,Card
S0000106,2025-01-02,P0039,C00146,2,8.22,16.44,Cash
S0000107,2025-01-03,P0028,C00017,1,22.42,22.42,Digital Wallet
S0000108,2025-01-03,P0037,C00172,2,29.68,59.36,Digital Wallet
S0000109,2025-01-03,P0011,C00152,1,28.23,28.23,Card
S0000110,2025-01-03,P0023,C00082,2,17.42,34.84,Card
S0000111,2025-01-03,P0030,C00300,3,3.95,11.85,Card
S0000112,2025-01-03,P0029,C00326,1,12.45,12.45,Cash
S0000113,2025-01-03,P0016,C00178,3,26.95,80.85,Cash
S0000114,2025-01-03,P0007,C00237,5,11.24,56.2,Card
S0000115,2025-01-03,P0011,C00318,3,28.23,84.69,Digital Wallet
S0000116,2025-01-03,P0014,C00072,1,14.33,14.33,Digital Wallet
S0000117,2025-01-03,P0033,C00454,4,32.26,129.04,Cash
S0000118,2025-01-03,P0035,C00126,5,4.51,22.55,Cash
S0000119,2025-01-03,P0029,C00361,5,12.45,62.25,Digital Wallet
S0000120,2025-01-03,P0037,C00453,1,29.68,29.68,Cash
S0000121,2025-01-03,P0007,C00435,1,11.24,11.24,Digital Wallet
S0000122,2025-01-03,P0017,C00371,1,10.27,10.27,Card
S0000123,2025-01-03,P0003,C00450,2,2.27,4.54,Cash
S0000124,2025-01-03,P0012,C00204,5,17.67,88.35,Card
S0000125,2025-01-03,P0013,C00232,1,21.26,21.26,Cash
S0000126,2025-01-03,P0018,C00212,5,14.48,72.4,Cash
S0000127,2025-01-03,P0027,C00262,3,24.24,72.72,Card
S0000128,2025-01-03,P0017,C00122,1,10.27,10.27,Card
S0000129,2025-01-03,P0005,C00354,2,12.52,25.04,Cash
S0000130,2025-01-03,P0030,C00401,2,3.95,7.9,Card
S0000131,2025-01-03,P0031,C00378,5,28.12,140.6,Digital Wallet
S0000132,2025-01-03,P0012,C00055,2,17.67,35.34,Digital Wallet
S0000133,2025-01-03,P0023,C00122,1,17.42,17.42,Card
S0000134,2025-01-03,P0023,C00126,2,17.42,34.84,Digital Wallet
S0000135,2025-01-03,P0030,C00224,3,3.95,11.85,Digital Wallet
S0000136,2025-01-03,P0023,C00267,1,17.42,17.42,Digital Wallet
S0000137,2025-01-03,P0012,C00222,1,17.67,17.67,Cash
S0000138,2025-01-03,P0009,C00019,4,3.63,14.52,Digital Wallet
S0000139,2025-01-04,P0039,C00139,5,8.22,41.1,Digital Wallet
S0000140,2025-01-04,P0001,C00355,5,2.31,11.55,Card
S0000141,2025-01-04,P0012,C00035,3,17.67,53.01,Digital Wallet
S0000142,2025-01-04,P0020,C00170,1,24.58,24.58,Cash
S0000143,2025-01-04,P0039,C00341,1,8.22,8.22,Cash
S0000144,2025-01-04,P0036,C00035,3,13.91,41.73,Card
S0000145,2025-01-04,P0038,C00099,1,9.21,9.21,Cash
S0000146,2025-01-04,P0010,C00462,2,16.69,33.38,Cash
S0000147,2025-01-04,P0012,C00059,1,17.67,17.67,Digital Wallet
S0000148,2025-01-04,P0036,C00257,2,13.91,27.82,Digital Wallet
S0000149,2025-01-04,P0014,C00258,3,14.33,42.99,Cash
S0000150,2025-01-04,P0001,C00344,4,2.31,9.24,Card
S0000151,2025-01-04,P0034,C00151,3,13.32,39.96,Card
S0000152,2025-01-04,P0031,C00178,2,28.12,56.24,Digital Wallet
S0000153,2025-01-04,P0035,C00234,5,4.51,22.55,Cash
S0000154,2025-01-04,P0019,C00438,3,6.16,18.48,Digital Wallet
S0000155,2025-01-04,P0025,C00419,2,4.71,9.42,Card
S0000156,2025-01-04,P0005,C00117,2,12.52,25.04,Cash
S0000157,2025-01-04,P0006,C00187,1,9.35,9.35,Digital Wallet
S0000158,2025-01-04,P0030,C00024,1,3.95,3.95,Digital Wallet
S0000159,2025-01-04,P0009,C00333,3,3.63,10.89,Card
S0000160,2025-01-04,P0031,C00272,4,28.12,112.48,Digital Wallet
S0000161,2025-01-04,P0015,C00267,1,29.69,29.69,Card
S0000162,2025-01-04,P0017,C00299,2,10.27,20.54,Card
S0000163,2025-01-04,P0039,C00220,1,8.22,8.22,Cash
S0000164,2025-01-04,P0011,C00229,5,28.23,141.15,Cash
S0000165,2025-01-04,P0016,C00464,1,26.95,26.95,Digital Wallet
S0000166,2025-01-04,P0021,C00345,5,3.5,17.5,Card
S0000167,2025-01-04,P0016,C00441,2,26.95,53.9,Card
S0000168,2025-01-04,P0024,C00110,1,16.73,16.73,Cash
S0000169,2025-01-04,P0014,C00038,4,14.33,57.32,Cash
S0000170,2025-01-04,P0026,C00255,2,30.59,61.18,Card
S0000171,2025-01-04,P0005,C00388,4,12.52,50.08,Cash
S0000172,2025-01-04,P0024,C00459,2,16.73,33.46,Digital Wallet
S0000173,2025-01-05,P0040,C00403,3,4.33,12.99,Card
S0000174,2025-01-05,P0006,C00145,1,9.35,9.35,Cash
S0000175,2025-01-05,P0028,C00223,5,22.42,112.1,Digital Wallet
S0000176,2025-01-05,P0027,C00027,3,24.24,72.72,Card
S0000177,2025-01-05,P0024,C00260,3,16.73,50.19,Digital Wallet
S0000178,2025-01-05,P0017,C00448,1,10.27,10.27,Digital Wallet
S0000179,2025-01-05,P0027,C00059,2,24.24,48.48,Card
S0000180,2025-01-05,P0014,C00468,3,14.33,42.99,Digital Wallet
S0000181,2025-01-05,P0002,C00237,4,23.0,92.0,Cash
S0000182,2025-01-05,P0027,C00421,5,24.24,121.2,Cash
S0000183,2025-01-05,P0020,C00301,1,24.58,24.58,Cash
S0000184,2025-01-05,P0028,C00006,4,22.42,89.68,Digital Wallet
S0000185,2025-01-05,P0009,C00205,1,3.63,3.63,Cash
S0000186,2025-01-05,P0010,C00276,1,16.69,16.69,Digital Wallet
S0000187,2025-01-05,P0017,C00183,2,10.27,20.54,Cash
S0000188,2025-01-05,P0022,C00424,4,22.12,88.48,Card
S0000189,2025-01-05,P0014,C00268,1,14.33,14.33,Digital Wallet
S0000190,2025-01-05,P0022,C00412,1,22.12,22.12,Digital Wallet
S0000191,2025-01-05,P0017,C00441,3,10.27,30.81,Cash
S0000192,2025-01-05,P0040,C00119,1,4.33,4.33,Card
S0000193,2025-01-05,P0002,C00220,3,23.0,69.0,Cash
S0000194,2025-01-05,P0007,C00435,1,11.24,11.24,Cash
S0000195,2025-01-05,P0004,C00140,3,18.23,54.69,Card
S0000196,2025-01-05,P0008,C00404,2,25.45,50.9,Card
S0000197,2025-01-05,P0023,C00124,5,17.42,87.1,Cash
S0000198,2025-01-05,P0012,C00453,1,17.67,17.67,Card
S0000199,2025-01-05,P0023,C00457,1,17.42,17.42,Cash
S0000200,2025-01-05,P0029,C00053,1,12.45,12.45,Digital Wallet
S0000201,2025-01-05,P0005,C00246,1,12.52,12.52,Cash
S0000202,2025-01-05,P0022,C00404,2,22.12,44.24,Digital Wallet
S0000203,2025-01-05,P0004,C00462,5,18.23,91.15,Cash
S0000204,2025-01-05,P0014,C00032,5,14.33,71.65,Card
S0000205,2025-01-05,P0015,C00264,1,29.69,29.69,Digital Wallet
S0000206,2025-01-05,P0007,C00444,3,11.24,33.72,Card
S0000207,2025-01-05,P0007,C00385,1,11.24,11.24,Digital Wallet
S0000208,2025-01-05,P0006,C00377,1,9.35,9.35,Digital Wallet
S0000209,2025-01-05,P0017,C00401,1,10.27,10.27,Cash
S0000210,2025-01-05,P0018,C00389,2,14.48,28.96,Cash
S0000211,2025-01-05,P0007,C00167,4,11.24,44.96,Cash
S0000212,2025-01-05,P0015,C00429,2,29.69,59.38,Cash
S0000213,2025-01-05,P0011,C00327,3,28.23,84.69,Card
S0000214,2025-01-05,P0005,C00177,5,12.52,62.6,Cash
S0000215,2025-01-05,P0036,C00212,1,13.91,13.91,Cash
S0000216,2025-01-05,P0022,C00354,1,22.12,22.12,Digital Wallet
S0000217,2025-01-05,P0031,C00360,4,28.12,112.48,Card
S0000218,2025-01-05,P0019,C00378,4,6.16,24.64,Card
S0000219,2025-01-05,P0003,C00143,1,2.27,2.27,Digital Wallet
S0000220,2025-01-05,P0011,C00074,5,28.23,141.15,Digital Wallet
S0000221,2025-01-05,P0019,C00345,5,6.16,30.8,Cash
S0000222,2025-01-05,P0040,C00276,3,4.33,12.99,Card
S0000223,2025-01-05,P0012,C00337,1,17.67,17.67,Cash
S0000224,2025-01-05,P0025,C00415,5,4.71,23.55,Digital Wallet
S0000225,2025-01-05,P0019,C00267,1,6.16,6.16,Cash
S0000226,2025-01-05,P0038,C00230,1,9.21,9.21,Card
S0000227,2025-01-05,P0007,C00460,1,11.24,11.24,Cash
S0000228,2025-01-05,P0033,C00089,2,32.26,64.52,Card
S0000229,2025-01-05,P0005,C00493,1,12.52,12.52,Cash
S0000230,2025-01-05,P0015,C00427,4,29.69,118.76,Cash
S0000231,2025-01-05,P0040,C00177,1,4.33,4.33,Card
S0000232,2025-01-05,P0039,C00305,5,8.22,41.1,Card
S0000233,2025-01-05,P0005,C00228,2,12.52,25.04,Card
S0000234,2025-01-05,P0008,C00091,3,25.45,76.35,Cash
S0000235,2025-01-05,P0032,C00105,1,22.91,22.91,Cash
S0000236,2025-01-05,P0025,C00002,4,4.71,18.84,Cash
S0000237,2025-01-05,P0037,C00044,1,29.68,29.68,Digital Wallet
S0000238,2025-01-05,P0003,C00386,1,2.27,2.27,Cash
S0000239,2025-01-05,P0032,C00057,5,22.91,114.55,Card
S0000240,2025-01-05,P0034,C00245,4,13.32,53.28,Card
S0000241,2025-01-05,P0033,C00262,2,32.26,64.52,Card
S0000242,2025-01-05,P0038,C00379,5,9.21,46.05,Cash
S0000243,2025-01-05,P0027,C00348,2,24.24,48.48,Card
S0000244,2025-01-05,P0027,C00091,1,24.24,24.24,Card
S0000245,2025-01-05,P0036,C00429,5,13.91,69.55,Digital Wallet
S0000246,2025-01-06,P0022,C00417,3,22.12,66.36,Digital Wallet
S0000247,2025-01-06,P0030,C00483,5,3.95,19.75,Card
S0000248,2025-01-06,P0030,C00108,2,3.95,7.9,Digital Wallet
S0000249,2025-01-06,P0024,C00379,1,16.73,16.73,Digital Wallet
S0000250,2025-01-06,P0029,C00365,2,12.45,24.9,Card
S0000251,2025-01-06,P0011,C00030,3,28.23,84.69,Cash
S0000252,2025-01-06,P0014,C00293,3,14.33,42.99,Cash
S0000253,2025-01-06,P0033,C00026,1,32.26,32.26,Card
S0000254,2025-01-06,P0032,C00091,1,22.91,22.91,Cash
S0000255,2025-01-06,P0002,C00399,2,23.0,46.0,Digital Wallet
S0000256,2025-01-06,P0006,C00063,1,9.35,9.35,Card
S0000257,2025-01-06,P0015,C00169,1,29.69,29.69,Cash
S0000258,2025-01-06,P0012,C00064,1,17.67,17.67,Cash
S0000259,2025-01-06,P0015,C00090,1,29.69,29.69,Digital Wallet
S0000260,2025-01-06,P0038,C00105,1,9.21,9.21,Card
S0000261,2025-01-06,P0004,C00421,4,18.23,72.92,Card
S0000262,2025-01-06,P0001,C00091,5,2.31,11.55,Digital Wallet
S0000263,2025-01-06,P0003,C00090,3,2.27,6.81,Card
S0000264,2025-01-06,P0021,C00447,1,3.5,3.5,Card
S0000265,2025-01-06,P0022,C00390,1,22.12,22.12,Digital Wallet
S0000266,2025-01-06,P0035,C00204,2,4.51,9.02,Digital Wallet
S0000267,2025-01-06,P0017,C00222,5,10.27,51.35,Cash
S0000268,2025-01-06,P0002,C00240,2,23.0,46.0,Card
S0000269,2025-01-06,P0014,C00154,3,14.33,42.99,Digital Wallet
S0000270,2025-01-06,P0019,C00300,2,6.16,12.32,Cash
S0000271,2025-01-06,P0023,C00023,1,17.42,17.42,Card
S0000272,2025-01-06,P0022,C00394,4,22.12,88.48,Cash
S0000273,2025-01-06,P0039,C00354,5,8.22,41.1,Digital Wallet
S0000274,2025-01-06,P0015,C00046,1,29.69,29.69,Card
S0000275,2025-01-06,P0008,C00467,2,25.45,50.9,Cash
S0000276,2025-01-06,P0011,C00294,3,28.23,84.69,Digital Wallet
S0000277,2025-01-06,P0013,C00215,1,21.26,21.26,Digital Wallet
S0000278,2025-01-06,P0011,C00317,4,28.23,112.92,Digital Wallet
S0000279,2025-01-06,P0032,C00064,3,22.91,68.73,Digital Wallet
S0000280,2025-01-06,P0026,C00231,1,30.59,30.59,Digital Wallet
S0000281,2025-01-06,P0011,C00472,5,28.23,141.15,Digital Wallet
S0000282,2025-01-06,P0016,C00402,5,26.95,134.75,Digital Wallet
S0000283,2025-01-06,P0019,C00236,3,6.16,18.48,Cash
S0000284,2025-01-06,P0029,C00170,2,12.45,24.9,Card
S0000285,2025-01-06,P0001,C00351,2,2.31,4.62,Card
S0000286,2025-01-06,P0024,C00168,1,16.73,16.73,Cash
S0000287,2025-01-06,P0034,C00221,2,13.32,26.64,Digital Wallet
S0000288,2025-01-06,P0009,C00127,1,3.63,3.63,Card
S0000289,2025-01-06,P0022,C00257,1,22.12,22.12,Digital Wallet
S0000290,2025-01-06,P0016,C00496,5,26.95,134.75,Card
S0000291,2025-01-06,P0006,C00177,1,9.35,9.35,Digital Wallet
S0000292,2025-01-06,P0010,C00372,3,16.69,50.07,Cash
S0000293,2025-01-06,P0033,C00103,1,32.26,32.26,Digital Wallet
S0000294,2025-01-06,P0009,C00027,3,3.63,10.89,Card
S0000295,2025-01-06,P0010,C00222,2,16.69,33.38,Digital Wallet
S0000296,2025-01-06,P0020,C00448,4,24.58,98.32,Card
S0000297,2025-01-06,P0014,C00341,1,14.33,14.33,Digital Wallet
S0000298,2025-01-06,P0028,C00220,1,22.42,22.42,Card
S0000299,2025-01-06,P0005,C00231,3,12.52,37.56,Card
S0000300,2025-01-06,P0029,C00055,4,12.45,49.8,Card
S0000301,2025-01-06,P0021,C00231,4,3.5,14.0,Digital Wallet
S0000302,2025-01-06,P0015,C00107,1,29.69,29.69,Card
S0000303,2025-01-06,P0013,C00305,3,21.26,63.78,Digital Wallet
S0000304,2025-01-06,P0026,C00216,4,30.59,122.36,Cash
S0000305,2025-01-06,P0040,C00496,3,4.33,12.99,Cash
S0000306,2025-01-06,P0002,C00085,2,23.0,46.0,Card
S0000307,2025-01-07,P0022,C00420,4,22.12,88.48,Digital Wallet
S0000308,2025-01-07,P0018,C00259,1,14.48,14.48,Card
S0000309,2025-01-07,P0011,C00154,1,28.23,28.23,Digital Wallet
S0000310,2025-01-07,P0010,C00140,4,16.69,66.76,Digital Wallet
S0000311,2025-01-07,P0030,C00500,2,3.95,7.9,Cash
S0000312,2025-01-07,P0019,C00041,1,6.16,6.16,Digital Wallet
S0000313,2025-01-07,P0025,C00441,2,4.71,9.42,Digital Wallet
S0000314,2025-01-07,P0012,C00015,1,17.67,17.67,Card
S0000315,2025-01-07,P0032,C00406,3,22.91,68.73,Card
S0000316,2025-01-07,P0019,C00118,3,6.16,18.48,Digital Wallet
S0000317,2025-01-07,P0023,C00147,1,17.42,17.42,Cash
S0000318,2025-01-07,P0029,C00335,3,12.45,37.35,Card
S0000319,2025-01-07,P0010,C00100,1,16.69,16.69,Card
S0000320,2025-01-07,P0029,C00293,1,12.45,12.45,Cash
S0000321,2025-01-07,P0023,C00009,1,17.42,17.42,Card
S0000322,2025-01-07,P0032,C00257,3,22.91,68.73,Digital Wallet
S0000323,2025-01-07,P0014,C00396,1,14.33,14.33,Digital Wallet
S0000324,2025-01-07,P0012,C00057,2,17.67,35.34,Digital Wallet
S0000325,2025-01-07,P0023,C00453,5,17.42,87.1,Card
S0000326,2025-01-07,P0024,C00049,5,16.73,83.65,Card
S0000327,2025-01-07,P0011,C00151,1,28.23,28.23,Card
S0000328,2025-01-07,P0012,C00093,3,17.67,53.01,Card
S0000329,2025-01-07,P0027,C00246,1,24.24,24.24,Digital Wallet
S0000330,2025-01-07,P0012,C00041,5,17.67,88.35,Cash
S0000331,2025-01-07,P0016,C00234,3,26.95,80.85,Digital Wallet
S0000332,2025-01-07,P0038,C00401,1,9.21,9.21,Card
S0000333,2025-01-07,P0002,C00319,1,23.0,23.0,Digital Wallet
S0000334,2025-01-07,P0025,C00141,2,4.71,9.42,Cash
S0000335,2025-01-07,P0033,C00061,1,32.26,32.26,Digital Wallet
S0000336,2025-01-07,P0016,C00488,1,26.95,26.95,Cash
S0000337,2025-01-07,P0010,C00423,1,16.69,16.69,Card
S0000338,2025-01-07,P0031,C00022,2,28.12,56.24,Digital Wallet
S0000339,2025-01-07,P0003,C00429,4,2.27,9.08,Digital Wallet
S0000340,2025-01-07,P0002,C00017,3,23.0,69.0,Digital Wallet
S0000341,2025-01-07,P0028,C00384,1,22.42,22.42,Digital Wallet
S0000342,2025-01-07,P0039,C00291,5,8.22,41.1,Card
S0000343,2025-01-07,P0038,C00343,2,9.21,18.42,Cash
S0000344,2025-01-07,P0027,C00220,1,24.24,24.24,Cash
S0000345,2025-01-07,P0030,C00077,1,3.95,3.95,Digital Wallet
S0000346,2025-01-07,P0032,C00343,2,22.91,45.82,Card
S0000347,2025-01-07,P0020,C00316,1,24.58,24.58,Cash
S0000348,2025-01-07,P0019,C00376,1,6.16,6.16,Cash
S0000349,2025-01-07,P0012,C00448,3,17.67,53.01,Cash
S0000350,2025-01-07,P0008,C00177,2,25.45,50.9,Cash
S0000351,2025-01-07,P0001,C00033,5,2.31,11.55,Cash
S0000352,2025-01-08,P0028,C00145,1,22.42,22.42,Cash
S0000353,2025-01-08,P0018,C00361,2,14.48,28.96,Card
S0000354,2025-01-08,P0020,C00124,2,24.58,49.16,Digital Wallet
S0000355,2025-01-08,P0017,C00065,3,10.27,30.81,Cash
S0000356,2025-01-08,P0017,C00484,1,10.27,10.27,Card
S0000357,2025-01-08,P0027,C00462,1,24.24,24.24,Card
S0000358,2025-01-08,P0029,C00332,4,12.45,49.8,Digital Wallet
S0000359,2025-01-08,P0024,C00154,3,16.73,50.19,Digital Wallet
S0000360,2025-01-08,P0022,C00105,2,22.12,44.24,Cash
S0000361,2025-01-08,P0036,C00186,1,13.91,13.91,Digital Wallet
S0000362,2025-01-08,P0017,C00071,2,10.27,20.54,Digital Wallet
S0000363,2025-01-08,P0035,C00108,4,4.51,18.04,Card
S0000364,2025-01-08,P0009,C00064,4,3.63,14.52,Card
S0000365,2025-01-08,P0020,C00090,1,24.58,24.58,Card
S0000366,2025-01-08,P0028,C00244,1,22.42,22.42,Cash
S0000367,2025-01-08,P0008,C00326,1,25.45,25.45,Cash
S0000368,2025-01-08,P0033,C00182,1,32.26,32.26,Digital Wallet
S0000369,2025-01-08,P0014,C00008,3,14.33,42.99,Digital Wallet
S0000370,2025-01-08,P0007,C00496,3,11.24,33.72,Cash
S0000371,2025-01-08,P0037,C00435,1,29.68,29.68,Cash
S0000372,2025-01-08,P0040,C00406,2,4.33,8.66,Card
S0000373,2025-01-08,P0013,C00027,2,21.26,42.52,Cash
S0000374,2025-01-08,P0027,C00339,3,24.24,72.72,Cash
S0000375,2025-01-08,P0037,C00058,1,29.68,29.68,Digital Wallet
S0000376,2025-01-08,P0020,C00018,2,24.58,49.16,Digital Wallet
S0000377,2025-01-08,P0012,C00184,2,17.67,35.34,Card
S0000378,2025-01-08,P0021,C00396,1,3.5,3.5,Cash
S0000379,2025-01-08,P0025,C00128,2,4.71,9.42,Digital Wallet
S0000380,2025-01-08,P0038,C00265,1,9.21,9.21,Cash
S0000381,2025-01-08,P0023,C00162,1,17.42,17.42,Cash
S0000382,2025-01-08,P0004,C00437,2,18.23,36.46,Card
S0000383,2025-01-08,P0026,C00450,1,30.59,30.59,Cash
S0000384,2025-01-08,P0004,C00169,5,18.23,91.15,Card
S0000385,2025-01-08,P0031,C00324,2,28.12,56.24,Digital Wallet
S0000386,2025-01-08,P0034,C00234,1,13.32,13.32,Digital Wallet
S0000387,2025-01-08,P0039,C00151,5,8.22,41.1,Digital Wallet
S0000388,2025-01-08,P0009,C00076,2,3.63,7.26,Digital Wallet
S0000389,2025-01-08,P0034,C00185,2,13.32,26.64,Card
S0000390,2025-01-08,P0022,C00213,4,22.12,88.48,Card
S0000391,2025-01-08,P0031,C00054,1,28.12,28.12,Digital Wallet
S0000392,2025-01-08,P0017,C00479,1,10.27,10.27,Digital Wallet
S0000393,2025-01-09,P0014,C00050,4,14.33,57.32,Digital Wallet
S0000394,2025-01-09,P0019,C00275,5,6.16,30.8,Card
S0000395,2025-01-09,P0014,C00039,5,14.33,71.65,Digital Wallet
S0000396,2025-01-09,P0033,C00196,2,32.26,64.52,Card
S0000397,2025-01-09,P0026,C00388,5,30.59,152.95,Cash
