sale_id,sale_date,product_id,customer_id,supplier_id,quantity,revenue,gross_profit,payment_method
S0000031,2025-01-01,P0005,C00309,SUP004,3,37.56,11.310000000000002,Digital Wallet
S0000032,2025-01-01,P0030,C00062,SUP004,1,3.95,1.7800000000000002,Cash
S0000033,2025-01-01,P0037,C00008,SUP002,1,29.68,13.27,Cash
S0000034,2025-01-01,P0036,C00401,SUP004,4,55.64,11.280000000000001,Cash
S0000035,2025-01-01,P0033,C00184,SUP007,2,64.52,29.72,Cash
S0000036,2025-01-01,P0016,C00072,SUP006,4,107.8,46.36,Card
S0000037,2025-01-01,P0002,C00383,SUP002,3,69.0,31.29,Card
S0000038,2025-01-01,P0038,C00079,SUP004,2,18.42,6.660000000000002,Card
S0000039,2025-01-01,P0033,C00035,SUP007,5,161.3,74.30000000000001,Cash
S0000040,2025-01-02,P0016,C00072,SUP006,3,80.85,34.769999999999996,Card
S0000041,2025-01-02,P0016,C00071,SUP006,3,80.85,34.769999999999996,Cash
S0000042,2025-01-02,P0009,C00078,SUP007,1,3.63,1.1099999999999999,Cash
S0000043,2025-01-02,P0019,C00155,SUP005,1,6.16,2.6100000000000003,Card
S0000044,2025-01-02,P0037,C00235,SUP002,2,59.36,26.54,Cash
S0000045,2025-01-02,P0031,C00220,SUP008,2,56.24,26.42,Card
S0000046,2025-01-02,P0032,C00073,SUP003,3,68.73,31.890000000000008,Card
S0000047,2025-01-02,P0014,C00014,SUP003,1,14.33,4.16,Card
S0000048,2025-01-02,P0012,C00405,SUP008,2,35.34,11.580000000000002,Card
S0000049,2025-01-02,P0014,C00001,SUP003,3,42.99,12.480000000000004,Card
S0000050,2025-01-02,P0015,C00259,SUP005,4,118.76,47.480000000000004,Digital Wallet
S0000051,2025-01-02,P0028,C00105,SUP006,1,22.42,8.410000000000002,Digital Wallet
S0000052,2025-01-02,P0023,C00268,SUP007,5,87.1,31.04999999999999,Digital Wallet
S0000053,2025-01-02,P0016,C00339,SUP006,1,26.95,11.59,Digital Wallet
S0000054,2025-01-02,P0001,C00216,SUP002,3,6.93,2.0699999999999994,Digital Wallet
S0000055,2025-01-02,P0026,C00190,SUP005,1,30.59,13.059999999999999,Card
S0000056,2025-01-02,P0028,C00220,SUP006,1,22.42,8.410000000000002,Cash
S0000057,2025-01-02,P0036,C00476,SUP004,1,13.91,2.8200000000000003,Cash
S0000058,2025-01-02,P0031,C00455,SUP008,2,56.24,26.42,Card
S0000059,2025-01-02,P0036,C00091,SUP004,1,13.91,2.8200000000000003,Cash
S0000060,2025-01-02,P0003,C00087,SUP007,2,4.54,1.08,Cash
S0000061,2025-01-02,P0040,C00216,SUP002,2,8.66,3.0,Digital Wallet
S0000062,2025-01-02,P0008,C00346,SUP005,2,50.9,21.38,Digital Wallet
S0000063,2025-01-02,P0029,C00208,SUP006,1,12.45,3.039999999999999,Digital Wallet
S0000064,2025-01-02,P0027,C00050,SUP005,4,96.96,35.599999999999994,Cash
S0000065,2025-01-02,P0035,C00419,SUP008,1,4.51,1.2799999999999998,Digital Wallet
S0000066,2025-01-02,P0002,C00336,SUP002,2,46.0,20.86,Card
S0000067,2025-01-02,P0040,C00401,SUP002,3,12.99,4.5,Cash
S0000068,2025-01-02,P0004,C00268,SUP001,5,91.15,38.0,Cash
S0000069,2025-01-02,P0002,C00250,SUP002,2,46.0,20.86,Digital Wallet
S0000070,2025-01-02,P0003,C00086,SUP007,3,6.81,1.62,Card
S0000071,2025-01-02,P0035,C00486,SUP008,2,9.02,2.5599999999999996,Digital Wallet
S0000072,2025-01-02,P0003,C00045,SUP007,4,9.08,2.16,Digital Wallet
S0000073,2025-01-02,P0032,C00333,SUP003,5,114.55,53.15,Cash
S0000074,2025-01-02,P0026,C00277,SUP005,1,30.59,13.059999999999999,Cash
S0000075,2025-01-02,P0019,C00440,SUP005,5,30.8,13.05,Digital Wallet
S0000076,2025-01-02,P0010,C00111,SUP004,2,33.38,7.300000000000004,Cash
S0000077,2025-01-02,P0027,C00421,SUP005,4,96.96,35.599999999999994,Cash
S0000078,2025-01-02,P0010,C00319,SUP004,3,50.07,10.950000000000003,Cash
S0000079,2025-01-02,P0035,C00226,SUP008,5,22.55,6.400000000000002,Digital Wallet
S0000080,2025-01-02,P0005,C00161,SUP004,2,25.04,7.539999999999999,Cash
S0000081,2025-01-02,P0017,C00450,SUP006,5,51.35,11.649999999999999,Digital Wallet
S0000082,2025-01-02,P0006,C00230,SUP007,2,18.7,4.859999999999999,Cash
S0000083,2025-01-02,P0022,C00220,SUP003,1,22.12,7.610000000000001,Card
S0000084,2025-01-02,P0021,C00393,SUP008,2,7.0,1.54,Cash
S0000085,2025-01-02,P0026,C00078,SUP005,1,30.59,13.059999999999999,Digital Wallet
S0000086,2025-01-02,P0025,C00204,SUP006,1,4.71,1.6400000000000001,Cash
S0000087,2025-01-02,P0018,C00195,SUP008,1,14.48,6.630000000000001,Digital Wallet
S0000088,2025-01-02,P0031,C00392,SUP008,4,112.48,52.84,Digital Wallet
S0000089,2025-01-02,P0012,C00146,SUP008,4,70.68,23.160000000000004,Cash
S0000090,2025-01-02,P0026,C00344,SUP005,2,61.18,26.119999999999997,Digital Wallet
S0000091,2025-01-02,P0037,C00308,SUP002,1,29.68,13.27,Cash
S0000092,2025-01-02,P0008,C00211,SUP005,5,127.25,53.45,Card
S0000093,2025-01-02,P0036,C00131,SUP004,3,41.73,8.46,Digital Wallet
S0000094,2025-01-02,P0020,C00398,SUP007,3,73.74,24.89999999999999,Digital Wallet
S0000095,2025-01-02,P0007,C00213,SUP002,4,44.96,14.64,Digital Wallet
S0000096,2025-01-02,P0020,C00409,SUP007,3,73.74,24.89999999999999,Digital Wallet
S0000097,2025-01-02,P0015,C00414,SUP005,5,148.45,59.349999999999994,Card
S0000098,2025-01-02,P0033,C00162,SUP007,2,64.52,29.72,Card
S0000099,2025-01-02,P0033,C00290,SUP007,1,32.26,14.86,Cash
S0000100,2025-01-02,P0040,C00180,SUP002,5,21.65,7.499999999999998,Digital Wallet
S0000101,2025-01-02,P0002,C00247,SUP002,4,92.0,41.72,Digital Wallet
S0000102,2025-01-02,P0026,C00167,SUP005,2,61.18,26.119999999999997,Card
S0000103,2025-01-02,P0003,C00083,SUP007,1,2.27,0.54,Cash
S0000104,2025-01-02,P0034,C00025,SUP005,3,39.96,16.259999999999998,Card
S0000105,2025-01-02,P0036,C00174,SUP004,3,41.73,8.46,Card
S0000106,2025-01-02,P0039,C00146,SUP008,2,16.44,5.880000000000001,Cash
S0000107,2025-01-03,P0028,C00017,SUP006,1,22.42,8.410000000000002,Digital Wallet
S0000108,2025-01-03,P0037,C00172,SUP002,2,59.36,26.54,Digital Wallet
S0000109,2025-01-03,P0011,C00152,SUP002,1,28.23,12.66,Card
S0000110,2025-01-03,P0023,C00082,SUP007,2,34.84,12.420000000000002,Card
S0000111,2025-01-03,P0030,C00300,SUP004,3,11.85,5.34,Card
S0000112,2025-01-03,P0029,C00326,SUP006,1,12.45,3.039999999999999,Cash
S0000113,2025-01-03,P0016,C00178,SUP006,3,80.85,34.769999999999996,Cash
S0000114,2025-01-03,P0007,C00237,SUP002,5,56.2,18.300000000000004,Card
S0000115,2025-01-03,P0011,C00318,SUP002,3,84.69,37.98,Digital Wallet
S0000116,2025-01-03,P0014,C00072,SUP003,1,14.33,4.16,Digital Wallet
S0000117,2025-01-03,P0033,C00454,SUP007,4,129.04,59.44,Cash
S0000118,2025-01-03,P0035,C00126,SUP008,5,22.55,6.400000000000002,Cash
S0000119,2025-01-03,P0029,C00361,SUP006,5,62.25,15.200000000000003,Digital Wallet
S0000120,2025-01-03,P0037,C00453,SUP002,1,29.68,13.27,Cash
S0000121,2025-01-03,P0007,C00435,SUP002,1,11.24,3.66,Digital Wallet
S0000122,2025-01-03,P0017,C00371,SUP006,1,10.27,2.329999999999999,Card
S0000123,2025-01-03,P0003,C00450,SUP007,2,4.54,1.08,Cash
S0000124,2025-01-03,P0012,C00204,SUP008,5,88.35,28.94999999999999,Card
S0000125,2025-01-03,P0013,C00232,SUP004,1,21.26,8.8,Cash
S0000126,2025-01-03,P0018,C00212,SUP008,5,72.4,33.150000000000006,Cash
S0000127,2025-01-03,P0027,C00262,SUP005,3,72.72,26.700000000000003,Card
S0000128,2025-01-03,P0017,C00122,SUP006,1,10.27,2.329999999999999,Card
S0000129,2025-01-03,P0005,C00354,SUP004,2,25.04,7.539999999999999,Cash
S0000130,2025-01-03,P0030,C00401,SUP004,2,7.9,3.5600000000000005,Card
S0000131,2025-01-03,P0031,C00378,SUP008,5,140.6,66.05,Digital Wallet
S0000132,2025-01-03,P0012,C00055,SUP008,2,35.34,11.580000000000002,Digital Wallet
S0000133,2025-01-03,P0023,C00122,SUP007,1,17.42,6.210000000000001,Card
S0000134,2025-01-03,P0023,C00126,SUP007,2,34.84,12.420000000000002,Digital Wallet
S0000135,2025-01-03,P0030,C00224,SUP004,3,11.85,5.34,Digital Wallet
S0000136,2025-01-03,P0023,C00267,SUP007,1,17.42,6.210000000000001,Digital Wallet
S0000137,2025-01-03,P0012,C00222,SUP008,1,17.67,5.790000000000001,Cash
S0000138,2025-01-03,P0009,C00019,SUP007,4,14.52,4.4399999999999995,Digital Wallet
S0000139,2025-01-04,P0039,C00139,SUP008,5,41.1,14.7,Digital Wallet
S0000140,2025-01-04,P0001,C00355,SUP002,5,11.55,3.4499999999999993,Card
S0000141,2025-01-04,P0012,C00035,SUP008,3,53.01,17.369999999999997,Digital Wallet
S0000142,2025-01-04,P0020,C00170,SUP007,1,24.58,8.299999999999997,Cash
S0000143,2025-01-04,P0039,C00341,SUP008,1,8.22,2.9400000000000004,Cash
S0000144,2025-01-04,P0036,C00035,SUP004,3,41.73,8.46,Card
S0000145,2025-01-04,P0038,C00099,SUP004,1,9.21,3.330000000000001,Cash
S0000146,2025-01-04,P0010,C00462,SUP004,2,33.38,7.300000000000004,Cash
S0000147,2025-01-04,P0012,C00059,SUP008,1,17.67,5.790000000000001,Digital Wallet
S0000148,2025-01-04,P0036,C00257,SUP004,2,27.82,5.640000000000001,Digital Wallet
S0000149,2025-01-04,P0014,C00258,SUP003,3,42.99,12.480000000000004,Cash
S0000150,2025-01-04,P0001,C00344,SUP002,4,9.24,2.76,Card
S0000151,2025-01-04,P0034,C00151,SUP005,3,39.96,16.259999999999998,Card
S0000152,2025-01-04,P0031,C00178,SUP008,2,56.24,26.42,Digital Wallet
S0000153,2025-01-04,P0035,C00234,SUP008,5,22.55,6.400000000000002,Cash
S0000154,2025-01-04,P0019,C00438,SUP005,3,18.48,7.830000000000002,Digital Wallet
S0000155,2025-01-04,P0025,C00419,SUP006,2,9.42,3.2800000000000002,Card
S0000156,2025-01-04,P0005,C00117,SUP004,2,25.04,7.539999999999999,Cash
S0000157,2025-01-04,P0006,C00187,SUP007,1,9.35,2.4299999999999997,Digital Wallet
S0000158,2025-01-04,P0030,C00024,SUP004,1,3.95,1.7800000000000002,Digital Wallet
S0000159,2025-01-04,P0009,C00333,SUP007,3,10.89,3.33,Card
S0000160,2025-01-04,P0031,C00272,SUP008,4,112.48,52.84,Digital Wallet
S0000161,2025-01-04,P0015,C00267,SUP005,1,29.69,11.870000000000001,Card
S0000162,2025-01-04,P0017,C00299,SUP006,2,20.54,4.659999999999998,Card
S0000163,2025-01-04,P0039,C00220,SUP008,1,8.22,2.9400000000000004,Cash
S0000164,2025-01-04,P0011,C00229,SUP002,5,141.15,63.30000000000001,Cash
S0000165,2025-01-04,P0016,C00464,SUP006,1,26.95,11.59,Digital Wallet
S0000166,2025-01-04,P0021,C00345,SUP008,5,17.5,3.8499999999999996,Card
S0000167,2025-01-04,P0016,C00441,SUP006,2,53.9,23.18,Card
S0000168,2025-01-04,P0024,C00110,SUP001,1,16.73,4.1,Cash
S0000169,2025-01-04,P0014,C00038,SUP003,4,57.32,16.64,Cash
S0000170,2025-01-04,P0026,C00255,SUP005,2,61.18,26.119999999999997,Card
S0000171,2025-01-04,P0005,C00388,SUP004,4,50.08,15.079999999999998,Cash
S0000172,2025-01-04,P0024,C00459,SUP001,2,33.46,8.2,Digital Wallet
S0000173,2025-01-05,P0040,C00403,SUP002,3,12.99,4.5,Card
S0000174,2025-01-05,P0006,C00145,SUP007,1,9.35,2.4299999999999997,Cash
S0000175,2025-01-05,P0028,C00223,SUP006,5,112.1,42.05,Digital Wallet
S0000176,2025-01-05,P0027,C00027,SUP005,3,72.72,26.700000000000003,Card
S0000177,2025-01-05,P0024,C00260,SUP001,3,50.19,12.299999999999997,Digital Wallet
S0000178,2025-01-05,P0017,C00448,SUP006,1,10.27,2.329999999999999,Digital Wallet
S0000179,2025-01-05,P0027,C00059,SUP005,2,48.48,17.799999999999997,Card
S0000180,2025-01-05,P0014,C00468,SUP003,3,42.99,12.480000000000004,Digital Wallet
S0000181,2025-01-05,P0002,C00237,SUP002,4,92.0,41.72,Cash
S0000182,2025-01-05,P0027,C00421,SUP005,5,121.2,44.5,Cash
S0000183,2025-01-05,P0020,C00301,SUP007,1,24.58,8.299999999999997,Cash
S0000184,2025-01-05,P0028,C00006,SUP006,4,89.68,33.64000000000001,Digital Wallet
S0000185,2025-01-05,P0009,C00205,SUP007,1,3.63,1.1099999999999999,Cash
S0000186,2025-01-05,P0010,C00276,SUP004,1,16.69,3.650000000000002,Digital Wallet
S0000187,2025-01-05,P0017,C00183,SUP006,2,20.54,4.659999999999998,Cash
S0000188,2025-01-05,P0022,C00424,SUP003,4,88.48,30.440000000000005,Card
S0000189,2025-01-05,P0014,C00268,SUP003,1,14.33,4.16,Digital Wallet
S0000190,2025-01-05,P0022,C00412,SUP003,1,22.12,7.610000000000001,Digital Wallet
S0000191,2025-01-05,P0017,C00441,SUP006,3,30.81,6.989999999999998,Cash
S0000192,2025-01-05,P0040,C00119,SUP002,1,4.33,1.5,Card
S0000193,2025-01-05,P0002,C00220,SUP002,3,69.0,31.29,Cash
S0000194,2025-01-05,P0007,C00435,SUP002,1,11.24,3.66,Cash
S0000195,2025-01-05,P0004,C00140,SUP001,3,54.69,22.799999999999997,Card
S0000196,2025-01-05,P0008,C00404,SUP005,2,50.9,21.38,Card
S0000197,2025-01-05,P0023,C00124,SUP007,5,87.1,31.04999999999999,Cash
S0000198,2025-01-05,P0012,C00453,SUP008,1,17.67,5.790000000000001,Card
S0000199,2025-01-05,P0023,C00457,SUP007,1,17.42,6.210000000000001,Cash
S0000200,2025-01-05,P0029,C00053,SUP006,1,12.45,3.039999999999999,Digital Wallet
S0000201,2025-01-05,P0005,C00246,SUP004,1,12.52,3.7699999999999996,Cash
S0000202,2025-01-05,P0022,C00404,SUP003,2,44.24,15.220000000000002,Digital Wallet
S0000203,2025-01-05,P0004,C00462,SUP001,5,91.15,38.0,Cash
S0000204,2025-01-05,P0014,C00032,SUP003,5,71.65,20.800000000000004,Card
S0000205,2025-01-05,P0015,C00264,SUP005,1,29.69,11.870000000000001,Digital Wallet
S0000206,2025-01-05,P0007,C00444,SUP002,3,33.72,10.979999999999997,Card
S0000207,2025-01-05,P0007,C00385,SUP002,1,11.24,3.66,Digital Wallet
S0000208,2025-01-05,P0006,C00377,SUP007,1,9.35,2.4299999999999997,Digital Wallet
S0000209,2025-01-05,P0017,C00401,SUP006,1,10.27,2.329999999999999,Cash
S0000210,2025-01-05,P0018,C00389,SUP008,2,28.96,13.260000000000002,Cash
S0000211,2025-01-05,P0007,C00167,SUP002,4,44.96,14.64,Cash
S0000212,2025-01-05,P0015,C00429,SUP005,2,59.38,23.740000000000002,Cash
S0000213,2025-01-05,P0011,C00327,SUP002,3,84.69,37.98,Card
S0000214,2025-01-05,P0005,C00177,SUP004,5,62.6,18.85,Cash
S0000215,2025-01-05,P0036,C00212,SUP004,1,13.91,2.8200000000000003,Cash
S0000216,2025-01-05,P0022,C00354,SUP003,1,22.12,7.610000000000001,Digital Wallet
S0000217,2025-01-05,P0031,C00360,SUP008,4,112.48,52.84,Card
S0000218,2025-01-05,P0019,C00378,SUP005,4,24.64,10.440000000000001,Card
S0000219,2025-01-05,P0003,C00143,SUP007,1,2.27,0.54,Digital Wallet
S0000220,2025-01-05,P0011,C00074,SUP002,5,141.15,63.30000000000001,Digital Wallet
S0000221,2025-01-05,P0019,C00345,SUP005,5,30.8,13.05,Cash
S0000222,2025-01-05,P0040,C00276,SUP002,3,12.99,4.5,Card
S0000223,2025-01-05,P0012,C00337,SUP008,1,17.67,5.790000000000001,Cash
S0000224,2025-01-05,P0025,C00415,SUP006,5,23.55,8.200000000000001,Digital Wallet
S0000225,2025-01-05,P0019,C00267,SUP005,1,6.16,2.6100000000000003,Cash
S0000226,2025-01-05,P0038,C00230,SUP004,1,9.21,3.330000000000001,Card
S0000227,2025-01-05,P0007,C00460,SUP002,1,11.24,3.66,Cash
S0000228,2025-01-05,P0033,C00089,SUP007,2,64.52,29.72,Card
S0000229,2025-01-05,P0005,C00493,SUP004,1,12.52,3.7699999999999996,Cash
S0000230,2025-01-05,P0015,C00427,SUP005,4,118.76,47.480000000000004,Cash
S0000231,2025-01-05,P0040,C00177,SUP002,1,4.33,1.5,Card
S0000232,2025-01-05,P0039,C00305,SUP008,5,41.1,14.7,Card
S0000233,2025-01-05,P0005,C00228,SUP004,2,25.04,7.539999999999999,Card
S0000234,2025-01-05,P0008,C00091,SUP005,3,76.35,32.06999999999999,Cash
S0000235,2025-01-05,P0032,C00105,SUP003,1,22.91,10.63,Cash
S0000236,2025-01-05,P0025,C00002,SUP006,4,18.84,6.5600000000000005,Cash
S0000237,2025-01-05,P0037,C00044,SUP002,1,29.68,13.27,Digital Wallet
S0000238,2025-01-05,P0003,C00386,SUP007,1,2.27,0.54,Cash
S0000239,2025-01-05,P0032,C00057,SUP003,5,114.55,53.15,Card
S0000240,2025-01-05,P0034,C00245,SUP005,4,53.28,21.68,Card
S0000241,2025-01-05,P0033,C00262,SUP007,2,64.52,29.72,Card
S0000242,2025-01-05,P0038,C00379,SUP004,5,46.05,16.65,Cash
S0000243,2025-01-05,P0027,C00348,SUP005,2,48.48,17.799999999999997,Card
S0000244,2025-01-05,P0027,C00091,SUP005,1,24.24,8.899999999999999,Card
S0000245,2025-01-05,P0036,C00429,SUP004,5,69.55,14.099999999999994,Digital Wallet
S0000246,2025-01-06,P0022,C00417,SUP003,3,66.36,22.83,Digital Wallet
S0000247,2025-01-06,P0030,C00483,SUP004,5,19.75,8.9,Card
S0000248,2025-01-06,P0030,C00108,SUP004,2,7.9,3.5600000000000005,Digital Wallet
S0000249,2025-01-06,P0024,C00379,SUP001,1,16.73,4.1,Digital Wallet
S0000250,2025-01-06,P0029,C00365,SUP006,2,24.9,6.079999999999998,Card
S0000251,2025-01-06,P0011,C00030,SUP002,3,84.69,37.98,Cash
S0000252,2025-01-06,P0014,C00293,SUP003,3,42.99,12.480000000000004,Cash
S0000253,2025-01-06,P0033,C00026,SUP007,1,32.26,14.86,Card
S0000254,2025-01-06,P0032,C00091,SUP003,1,22.91,10.63,Cash
S0000255,2025-01-06,P0002,C00399,SUP002,2,46.0,20.86,Digital Wallet
S0000256,2025-01-06,P0006,C00063,SUP007,1,9.35,2.4299999999999997,Card
S0000257,2025-01-06,P0015,C00169,SUP005,1,29.69,11.870000000000001,Cash
S0000258,2025-01-06,P0012,C00064,SUP008,1,17.67,5.790000000000001,Cash
S0000259,2025-01-06,P0015,C00090,SUP005,1,29.69,11.870000000000001,Digital Wallet
S0000260,2025-01-06,P0038,C00105,SUP004,1,9.21,3.330000000000001,Card
S0000261,2025-01-06,P0004,C00421,SUP001,4,72.92,30.4,Card
S0000262,2025-01-06,P0001,C00091,SUP002,5,11.55,3.4499999999999993,Digital Wallet
S0000263,2025-01-06,P0003,C00090,SUP007,3,6.81,1.62,Card
S0000264,2025-01-06,P0021,C00447,SUP008,1,3.5,0.77,Card
S0000265,2025-01-06,P0022,C00390,SUP003,1,22.12,7.610000000000001,Digital Wallet
S0000266,2025-01-06,P0035,C00204,SUP008,2,9.02,2.5599999999999996,Digital Wallet
S0000267,2025-01-06,P0017,C00222,SUP006,5,51.35,11.649999999999999,Cash
S0000268,2025-01-06,P0002,C00240,SUP002,2,46.0,20.86,Card
S0000269,2025-01-06,P0014,C00154,SUP003,3,42.99,12.480000000000004,Digital Wallet
S0000270,2025-01-06,P0019,C00300,SUP005,2,12.32,5.220000000000001,Cash
S0000271,2025-01-06,P0023,C00023,SUP007,1,17.42,6.210000000000001,Card
S0000272,2025-01-06,P0022,C00394,SUP003,4,88.48,30.440000000000005,Cash
S0000273,2025-01-06,P0039,C00354,SUP008,5,41.1,14.7,Digital Wallet
S0000274,2025-01-06,P0015,C00046,SUP005,1,29.69,11.870000000000001,Card
S0000275,2025-01-06,P0008,C00467,SUP005,2,50.9,21.38,Cash
S0000276,2025-01-06,P0011,C00294,SUP002,3,84.69,37.98,Digital Wallet
S0000277,2025-01-06,P0013,C00215,SUP004,1,21.26,8.8,Digital Wallet
S0000278,2025-01-06,P0011,C00317,SUP002,4,112.92,50.64,Digital Wallet
S0000279,2025-01-06,P0032,C00064,SUP003,3,68.73,31.890000000000008,Digital Wallet
S0000280,2025-01-06,P0026,C00231,SUP005,1,30.59,13.059999999999999,Digital Wallet
S0000281,2025-01-06,P0011,C00472,SUP002,5,141.15,63.30000000000001,Digital Wallet
S0000282,2025-01-06,P0016,C00402,SUP006,5,134.75,57.95,Digital Wallet
S0000283,2025-01-06,P0019,C00236,SUP005,3,18.48,7.830000000000002,Cash
S0000284,2025-01-06,P0029,C00170,SUP006,2,24.9,6.079999999999998,Card
S0000285,2025-01-06,P0001,C00351,SUP002,2,4.62,1.38,Card
S0000286,2025-01-06,P0024,C00168,SUP001,1,16.73,4.1,Cash
S0000287,2025-01-06,P0034,C00221,SUP005,2,26.64,10.84,Digital Wallet
S0000288,2025-01-06,P0009,C00127,SUP007,1,3.63,1.1099999999999999,Card
S0000289,2025-01-06,P0022,C00257,SUP003,1,22.12,7.610000000000001,Digital Wallet
S0000290,2025-01-06,P0016,C00496,SUP006,5,134.75,57.95,Card
S0000291,2025-01-06,P0006,C00177,SUP007,1,9.35,2.4299999999999997,Digital Wallet
S0000292,2025-01-06,P0010,C00372,SUP004,3,50.07,10.950000000000003,Cash
S0000293,2025-01-06,P0033,C00103,SUP007,1,32.26,14.86,Digital Wallet
S0000294,2025-01-06,P0009,C00027,SUP007,3,10.89,3.33,Card
S0000295,2025-01-06,P0010,C00222,SUP004,2,33.38,7.300000000000004,Digital Wallet
S0000296,2025-01-06,P0020,C00448,SUP007,4,98.32,33.19999999999999,Card
S0000297,2025-01-06,P0014,C00341,SUP003,1,14.33,4.16,Digital Wallet
S0000298,2025-01-06,P0028,C00220,SUP006,1,22.42,8.410000000000002,Card
S0000299,2025-01-06,P0005,C00231,SUP004,3,37.56,11.310000000000002,Card
S0000300,2025-01-06,P0029,C00055,SUP006,4,49.8,12.159999999999997,Card
S0000301,2025-01-06,P0021,C00231,SUP008,4,14.0,3.08,Digital Wallet
S0000302,2025-01-06,P0015,C00107,SUP005,1,29.69,11.870000000000001,Card
S0000303,2025-01-06,P0013,C00305,SUP004,3,63.78,26.4,Digital Wallet
S0000304,2025-01-06,P0026,C00216,SUP005,4,122.36,52.239999999999995,Cash
S0000305,2025-01-06,P0040,C00496,SUP002,3,12.99,4.5,Cash
S0000306,2025-01-06,P0002,C00085,SUP002,2,46.0,20.86,Card
S0000307,2025-01-07,P0022,C00420,SUP003,4,88.48,30.440000000000005,Digital Wallet
S0000308,2025-01-07,P0018,C00259,SUP008,1,14.48,6.630000000000001,Card
S0000309,2025-01-07,P0011,C00154,SUP002,1,28.23,12.66,Digital Wallet
S0000310,2025-01-07,P0010,C00140,SUP004,4,66.76,14.600000000000009,Digital Wallet
S0000311,2025-01-07,P0030,C00500,SUP004,2,7.9,3.5600000000000005,Cash
S0000312,2025-01-07,P0019,C00041,SUP005,1,6.16,2.6100000000000003,Digital Wallet
S0000313,2025-01-07,P0025,C00441,SUP006,2,9.42,3.2800000000000002,Digital Wallet
S0000314,2025-01-07,P0012,C00015,SUP008,1,17.67,5.790000000000001,Card
S0000315,2025-01-07,P0032,C00406,SUP003,3,68.73,31.890000000000008,Card
S0000316,2025-01-07,P0019,C00118,SUP005,3,18.48,7.830000000000002,Digital Wallet
S0000317,2025-01-07,P0023,C00147,SUP007,1,17.42,6.210000000000001,Cash
S0000318,2025-01-07,P0029,C00335,SUP006,3,37.35,9.120000000000001,Card
S0000319,2025-01-07,P0010,C00100,SUP004,1,16.69,3.650000000000002,Card
S0000320,2025-01-07,P0029,C00293,SUP006,1,12.45,3.039999999999999,Cash
S0000321,2025-01-07,P0023,C00009,SUP007,1,17.42,6.210000000000001,Card
S0000322,2025-01-07,P0032,C00257,SUP003,3,68.73,31.890000000000008,Digital Wallet
S0000323,2025-01-07,P0014,C00396,SUP003,1,14.33,4.16,Digital Wallet
S0000324,2025-01-07,P0012,C00057,SUP008,2,35.34,11.580000000000002,Digital Wallet
S0000325,2025-01-07,P0023,C00453,SUP007,5,87.1,31.04999999999999,Card
S0000326,2025-01-07,P0024,C00049,SUP001,5,83.65,20.5,Card
